year,sex,n,n_miss,age_mean,age_sd,cod
2005,M,1620,0,38.89074074074074,11.344285392349317,heroin
2006,All,2088,3,38.460431654676256,11.585532410464847,heroin
2006,F,344,0,38.19767441860465,12.018760619165414,heroin
2006,M,1744,3,38.51234922458357,11.500849156347215,heroin
2007,All,2399,1,38.397831526271894,11.739213064448679,heroin
2007,F,399,0,38.2406015037594,12.23276166402098,heroin
2007,M,2000,1,38.42921460730365,11.641107435110396,heroin
2008,All,3041,0,37.887865833607364,11.932027365694294,heroin
2008,F,551,0,38.31760435571688,12.091726640953496,heroin
2008,M,2490,0,37.792771084337346,11.896754689799385,heroin
2009,All,3278,0,37.74039048200122,11.92003762617872,heroin
2009,F,577,0,36.98786828422877,12.070605011503432,heroin
2009,M,2701,0,37.901147723065534,11.883705096912836,heroin
2010,All,3036,0,36.980237154150196,12.014774186707708,heroin
2010,F,584,0,36.15582191780822,12.143850500713105,heroin
2010,M,2452,0,37.17659053833605,11.977957047739599,heroin
2011,All,4397,1,36.5950864422202,12.092281255157964,heroin
2011,F,878,0,35.7004555808656,11.929201057765265,heroin
2011,M,3519,1,36.818362706083,12.124026552169003,heroin
2012,All,5925,1,37.056212018906145,11.86789432251833,heroin
2012,F,1213,0,35.80873866446826,11.748380527752829,heroin
2012,M,4712,1,37.37741456166419,11.878515967676424,heroin
2013,All,8257,2,37.526589945487586,12.148174078901382,heroin
2013,F,1732,0,36.5040415704388,11.879934967372707,heroin
2013,M,6525,2,37.79809903418673,12.20491689384957,heroin
2014,All,10574,0,37.88954038206923,12.103415568192766,heroin
2014,F,2414,0,37.2046396023198,11.936197772115618,heroin
2014,M,8160,0,38.0921568627451,12.145766114940631,heroin
2015,All,12989,0,38.1251058588036,12.115880353614841,heroin
2015,F,3108,0,37.435649935649934,12.175020859181618,heroin
2015,M,9881,0,38.341969436291876,12.089709736198875,heroin
2016,All,15469,1,38.77165761572278,12.238189865382127,heroin
2016,F,3717,0,38.483723432875976,12.158690864043093,heroin
2016,M,11752,1,38.86273508637563,12.26233670312442,heroin
0,All,147957,26,43.211321494480536,13.026713599853688,natural
0,F,59892,6,45.589687072103665,12.851284419938072,natural
0,M,88065,20,41.59361690044864,12.896529445033881,natural
1999,All,2749,4,40.91475409836065,11.346260549060375,natural
1999,F,774,1,42.909443725743856,13.100135518264457,natural
1999,M,1975,3,40.13286004056795,10.480326103979252,natural
2e3,All,2917,2,40.81269296740995,11.319162910354631,natural
2e3,F,914,1,42.7710843373494,12.573169909141894,natural
2e3,M,2003,1,39.91958041958042,10.582250904541654,natural
2001,All,3479,3,40.70454545454545,11.905763892555196,natural
2001,F,1170,0,43.10940170940171,12.207361386118176,natural
2001,M,2309,3,39.48438855160451,11.562673470359297,natural
2002,All,4416,2,41.4766651563208,11.905237061970753,natural
2002,F,1569,1,43.485331632653065,12.355241250615594,natural
2002,M,2847,1,40.36999297259311,11.503149983504878,natural
2003,All,4867,1,41.637484586929716,12.229683724037937,natural
2003,F,1764,0,44.24263038548753,12.564798674765374,natural
2003,M,3103,1,40.156028368794324,11.782760080213379,natural
2004,All,5231,1,41.87743785850861,12.383343102591509,natural
2004,F,1979,1,44.29423660262892,12.363135484873347,natural
2004,M,3252,0,40.40744157441574,12.164831489410947,natural
2005,All,5774,1,42.37588775333449,12.761419706021984,natural
2005,F,2241,0,44.94779116465863,12.696225739197233,natural
2005,M,3533,1,40.7440543601359,12.53359829157942,natural
2006,All,7017,2,42.09964362081254,12.654223112310758,natural
2006,F,2766,1,44.724773960217,12.68703134960607,natural
2006,M,4251,1,40.39176470588235,12.337917986100873,natural
2007,All,8158,1,42.127497854603405,12.797865476101201,natural
2007,F,3269,0,44.33680024472316,12.599471814454375,natural
2007,M,4889,1,40.649959083469724,12.717693736934283,natural
2008,All,9119,0,42.384800965018094,12.927670678100277,natural
2008,F,3563,0,45.197866966039854,12.775800746903448,natural
2008,M,5556,0,40.580813534917205,12.701465323821708,natural
2009,All,9735,1,42.72755290733512,12.981692767068388,natural
2009,F,3886,0,45.171899125064336,12.563160086035314,natural
